업무시기,분류,업무상세,마감일,완료여부,완료일
교육전,강의제반,교육장 예약 확인 및 세팅 요청,D-14,TRUE,2026-03-24
교육전,강의제반,교육장 네트워크(Wi-Fi) 사전 테스트,D-3,TRUE,2026-04-04
교육전,강의제반,교육장 냉난방·조명 점검,D-1,FALSE,
교육전,강의제반,교재 인쇄 및 수량 확인 (수강인원+5부),D-5,TRUE,2026-04-02
교육전,강사및조교,강사 안내 메일 발송 (일정/장소/커리큘럼),D-14,TRUE,2026-03-24
교육전,강사및조교,강사 계약 검토 요청 (경영지원팀),D-21,TRUE,2026-03-17
교육전,강사및조교,조교 배정 및 업무 안내 메일 발송,D-10,TRUE,2026-03-28
교육전,기업담당자,기업담당자 싱크업 미팅 완료,D-14,TRUE,2026-03-24
교육전,기업담당자,수강생 명단 수령 확인,D-7,TRUE,2026-03-31
교육전,교육생,교육생 입과 안내 메일 발송,D-7,TRUE,2026-03-31
교육전,교육생,사전 설문 발송 및 응답 확인,D-5,FALSE,
교육전,교육생,GPT 계정 사전 배포 및 로그인 테스트,D-1,FALSE,
교육전,예약,에그(포터블 Wi-Fi) 대여 신청,D-7,TRUE,2026-03-31
교육전,예약,다과 및 간식 주문,D-3,TRUE,2026-04-04
교육전,제작,교안(PPT) 최종본 수령 및 오탈자 점검,D-5,TRUE,2026-04-02
교육전,제작,실습 자료 및 데이터셋 준비,D-3,FALSE,
교육전,패캠내부,LMS 과정 등록 및 수강생 매핑,D-5,TRUE,2026-04-02
교육중,강의제반,교육장 출입 안내 및 안내문 부착,D-Day,FALSE,
교육중,강의제반,출결 체크 (오전/오후),D-Day,FALSE,
교육중,교육생,실시간 Q&A 및 이슈 대응,D-Day,FALSE,
교육중,강사및조교,강사 현장 지원 (장비/자료 등),D-Day,FALSE,
교육후,기업담당자,만족도 설문 발송,D+1,FALSE,
교육후,기업담당자,만족도 결과 정리 및 전달,D+3,FALSE,
교육후,패캠내부,종료/회고 시트 작성,D+3,FALSE,
교육후,패캠내부,결과보고서 작성 및 제출,D+7,FALSE,
